IdTab_file,IdTab,Row,Column,Datapoint,factValue,qOOR
f_00.01,f_00.01,r0010,c0010,dp31870,eba_qAS:qx2004,
f_00.01,f_00.01,r0020,c0010,dp37969,eba_qSC:qx10,
f_01.01,f_01.01,r0010,c0010,dp10898,145078,
f_01.01,f_01.01,r0020,c0010,dp32358,87074,
f_01.01,f_01.01,r0030,c0010,dp32237,39279,
f_01.01,f_01.01,r0040,c0010,dp32244,18725,
f_01.01,f_01.01,r0050,c0010,dp11110,134307,
f_01.01,f_01.01,r0060,c0010,dp11108,24599,
f_01.01,f_01.01,r0070,c0010,dp11112,8704,
f_01.01,f_01.01,r0080,c0010,dp11106,41466,
f_01.01,f_01.01,r0090,c0010,dp11114,59538,
f_01.01,f_01.01,r0096,c0010,dp152736,21784,
f_01.01,f_01.01,r0097,c0010,dp152734,119,
f_01.01,f_01.01,r0098,c0010,dp152732,2412,
f_01.01,f_01.01,r0099,c0010,dp152738,19253,
f_01.01,f_01.01,r0100,c0010,dp10976,140693,
f_01.01,f_01.01,r0120,c0010,dp10972,69194,
f_01.01,f_01.01,r0130,c0010,dp10978,71499,
f_01.01,f_01.01,r0141,c0010,dp152877,196504,
f_01.01,f_01.01,r0142,c0010,dp152875,89082,
f_01.01,f_01.01,r0143,c0010,dp152873,14157,
f_01.01,f_01.01,r0144,c0010,dp152879,93265,
f_01.01,f_01.01,r0181,c0010,dp152251,82973,
f_01.01,f_01.01,r0182,c0010,dp152247,41795,
f_01.01,f_01.01,r0183,c0010,dp152253,41178,
f_01.01,f_01.01,r0240,c0010,dp11478,19323,
f_01.01,f_01.01,r0250,c0010,dp32402,87358,
f_01.01,f_01.01,r0260,c0010,dp11802,78628,
f_01.01,f_01.01,r0270,c0010,dp32420,80034,
f_01.01,f_01.01,r0280,c0010,dp11922,78603,
f_01.01,f_01.01,r0290,c0010,dp11776,1431,
f_01.01,f_01.01,r0300,c0010,dp32406,188361,
f_01.01,f_01.01,r0310,c0010,dp32404,95845,
f_01.01,f_01.01,r0320,c0010,dp32408,92516,
f_01.01,f_01.01,r0330,c0010,dp32422,70302,
f_01.01,f_01.01,r0340,c0010,dp32360,52092,
